id,descripcion,tipo_datos,requerido,unidad
mes,mes al que se refieren los datos o 13 de la indicar valor anual,string,True,
indicativo,indicativo climatológico,string,True,
e_cv,coeficiente de variación de Pearson de la tensión de vapor media,string,False,
e_max,valor máximo de la tensión de vapor media,string,False,(décimas hPa)
e_md,media aritmética de la tensión de vapor media,string,False,(décimas hPa)
e_min,valor mínimo de la tensión de vapor media,string,False,(décimas hPa)
e_mn,mediana de la tensión de vapor media,string,False,(décimas hPa)
e_n,frecuencia absoluta (nº de años con dato disponible) de la tensión de vapor media,string,False,Nº de días
e_q1,primer quintil de la tensión de vapor media,string,False,(décimas hPa)
e_q2,segundo quintil de la tensión de vapor media,string,False,(décimas hPa)
e_q3,tercer quintil de la tensión de vapor media,string,False,(décimas hPa)
e_q4,cuarto quintil de la tensión de vapor media,string,False,(décimas hPa)
e_s,desviación típica de la tensión de vapor media,string,False,(décimas hPa)
evap_cv,coeficiente de variación de Pearson de la evaporación total mensual/anual,string,False,
evap_max,valor máximo de la evaporación total mensual/anual,string,False,(décimas mm)
evap_md,media aritmética de la evaporación total mensual/anual (décimas de mm),string,False,(décimas mm)
evap_min,valor mínimo de la evaporación total mensual/anual (décimas de mm),string,False,(décimas mm)
evap_mn,mediana de la evaporación total mensual/anual (décimas de mm),string,False,(décimas mm)
evap_n,frecuencia absoluta (nº de años con dato disponible) de la evaporación total mensual/anual,string,False,Nº de días
evap_q1,primer quintil de la evaporación total mensual/anual,string,False,(décimas mm)
evap_q2,segundo quintil de la evaporación total mensual/anual,string,False,(décimas mm)
evap_q3,tercer quintil de la evaporación total mensual/anual,string,False,(décimas mm)
evap_q4,cuarto quintil de la evaporación total mensual/anual,string,False,(décimas mm)
evap_s,desviación típica de la evaporación total mensual/anual,string,False,(décimas mm)
glo_cv,coeficiente de variación de Pearson de la radiación global mensual/anual,string,False,
glo_max,valor máximo de la radiación global mensual/anual,string,False,(decenas de kJ/m2)
glo_md,media aritmética de la radiación global mensual/anual,string,False,(decenas de kJ/m2)
glo_min,valor mínimo de la radiación global mensual/anual,string,False,(decenas de kJ/m2)
glo_mn,mediana de la radiación global mensual/anual,string,False,(decenas de kJ/m2)
glo_n,frecuencia absoluta (nº de años con dato disponible) de la radiación global mensual/anual,string,False,Nº de días
glo_q1,primer quintil de la radiación global mensual/anual,string,False,(decenas de kJ/m2)
glo_q2,segundo quintil de la radiación global mensual/anual,string,False,(decenas de kJ/m2)
glo_q3,tercer quintil de la radiación global mensual/anual,string,False,(decenas de kJ/m2)
glo_q4,cuarto quintil de la radiación global mensual/anual,string,False,(decenas de kJ/m2)
glo_s,desviación típica de la radiación global mensual/anual,string,False,(decenas de kJ/m2)
hr_cv,coeficiente de variación de Pearson de la humedad relativa media mensual/anual,string,False,
hr_max,valor máximo de la humedad relativa media mensual/anual,string,False,(%)
hr_md,media aritmética de la humedad relativa media mensual/anual,string,False,(%)
hr_min,valor mínimo de la humedad relativa media mensual/anual,string,False,(%)
hr_mn,mediana de la humedad relativa media mensual/anual,string,False,(%)
hr_n,frecuencia absoluta (nº de años con dato disponible) de la humedad relativa media mensual/anual,string,False,Nº de días
hr_q1,primer quintil de la humedad relativa media mensual/anual,string,False,(%)
hr_q2,segundo quintil de la humedad relativa media mensual/anual,string,False,(%)
hr_q3,tercer quintil de la humedad relativa media mensual/anual,string,False,(%)
hr_q4,cuarto quintil de la humedad relativa media mensual/anual,string,False,(%)
hr_s,desviación típica de la humedad relativa media mensual/anual,string,False,(%)
