fecha,indicativo,p_max,n_cub,hr,nw_55,tm_min,ta_max,ts_min,nt_30,n_des,w_racha,np_100,n_nub,nw_91,np_001,ta_min,w_rec,e,np_300,p_mes,w_med,nt_00,ti_max,tm_mes,tm_max,np_010
2021-10,B013X,36.3(03),8,85,1,10.0,25.4(03),16.1,0,6,23/16.7(30),3,17,0,14,5.0(12),35,150,1,107.1,1,0,16.2,15.4,20.8,10
2021-11,B013X,99.1(09),21,88,2,8.5,20.8(01),12.0,0,1,14/17.8(29),12,8,0,23,3.6(29),56,116,6,502.5,2,0,9.4,10.8,13.2,19
2021-12,B013X,28.8(02),8,81,,4.4,20.7(31),13.3,0,6,,2,16,,6,0.1(03),,96,0,59.1,,0,9.8,9.7,15.0,4
2021-13,B013X,99.1(09/nov),,74,,9.7,40.5(13/ago),22.8,39,,,35,,,115,-1.2(19/ene),,136,13,1235.6,,13,5.4,15.1,20.3,84
2021-1,B013X,61.8(10),,80,4,3.0,23.0(28),9.5,0,,25/18.9(23),7,,0,13,-1.2(19),63,84,2,196.5,3,9,5.4,7.6,12.1,12
2021-2,B013X,10.2(12),,73,3,4.8,23.2(03),12.8,0,,27/19.2(10),1,,0,6,0.5(17),79,93,0,17.6,3,0,9.0,10.5,16.1,4
2021-3,B013X,45.8(08),,75,0,4.3,20.5(26),11.2,0,,16/13.3(14),4,,0,6,-0.4(11),67,92,3,127.6,3,4,5.8,9.5,14.7,5
2021-4,B013X,9.6(11),,75,0,5.9,21.0(02),12.6,0,,13/10.8(25),0,,0,8,0.8(08),63,109,0,28.9,3,0,8.8,11.0,16.1,6
2021-5,B013X,36.4(23),,63,1,10.1,29.2(16),16.0,0,,16/15.6(10),2,,0,9,5.3(12),74,125,1,57.7,4,0,15.2,15.8,21.4,4
2021-6,B013X,15.2(23),,65,0,15.1,31.1(14),21.8,3,,19/13.9(23),1,,0,6,11.8(07),63,178,0,24.2,3,0,20.0,20.9,26.6,4
2021-7,B013X,3.2(31),,56,0,16.5,36.2(24),22.8,16,,22/14.4(24),0,,0,3,13.8(09),67,183,0,4.2,4,0,24.6,23.3,30.0,1
2021-8,B013X,4.8(01),,62,0,17.6,40.5(13),22.4,14,,15/11.4(30),0,,0,5,12.7(03),57,199,0,10.8,3,0,22.8,24.3,30.9,3
2021-9,B013X,26.4(21),,80,1,16.5,30.9(06),22.6,6,,28/16.1(15),3,,0,16,12.6(20),56,210,0,99.4,2,0,18.4,21.8,27.0,12
2022-10,B013X,16.2(06),8,76,0,12.6,31.5(26),17.1,4,8,26/13.1(24),2,15,0,7,6.7(30),55,165,0,44.5,2,0,18.1,19.0,25.3,5
2022-11,B013X,34.2(18),14,84,2,8.5,24.8(01),13.9,0,5,13/16.1(22),7,11,0,11,1.0(27),70,133,2,180.5,3,0,12.2,13.6,18.7,9
2022-12,B013X,31.4(02),10,82,2,6.4,23.4(25),14.6,0,7,19/19.2(12),3,14,0,12,1.3(29),56,111,1,89.5,2,0,10.5,12.1,17.6,10
2022-13,B013X,,95,71,,10.3,38.9(13/ago),26.4,87,117,,,150,,,-4.0(18/ene),,141,,,3,22,5.9,16.5,22.6,
2022-1,B013X,21.0(05),5,82,,0.4,22.2(04),8.4,0,13,,1,13,,5,-4.0(18),,78,0,33.2,1,17,5.9,7.0,13.5,5
2022-2,B013X,7.8(14),5,76,0,2.3,22.5(03),7.1,0,12,20/11.9(13),0,11,0,2,-2.1(11),59,88,0,7.9,2,2,11.0,9.0,15.7,1
2022-3,B013X,44.1(23),23,88,0,6.6,18.6(15),12.7,0,1,09/14.2(14),7,7,0,20,-0.7(01),129,110,2,184.1,6,2,9.8,10.2,13.7,15
2022-4,B013X,78.3(21),10,67,1,6.6,23.5(30),11.2,0,6,12/15.6(21),3,11,0,8,-0.4(03),93,102,1,114.3,4,1,7.8,12.1,17.7,6
2022-5,B013X,,6,58,0,11.4,34.6(22),18.1,4,10,01/10.3(05),,15,0,,7.1(10),83,136,,,4,0,16.1,18.3,25.1,
2022-6,B013X,2.1(22),3,54,1,16.4,36.0(17),25.1,16,16,23/17.2(21),0,11,0,3,11.8(29),84,178,0,3.7,4,0,26.0,23.4,30.4,2
2022-7,B013X,0.3(05),0,50,0,18.1,37.8(25),22.5,25,21,14/13.3(26),0,10,0,1,14.7(08),63,182,0,0.3,3,0,26.5,25.6,33.1,0
2022-8,B013X,42.6(27),1,60,0,18.4,38.9(13),26.4,25,16,12/14.4(18),2,14,0,5,14.3(20),54,203,1,66.2,3,0,25.9,25.5,32.6,3
2022-9,B013X,22.0(24),10,75,0,15.7,33.4(13),21.8,13,2,16/12.8(23),3,18,0,7,10.0(20),63,202,0,56.7,3,0,16.7,21.6,27.4,4
2023-10,B013X,39.7(15),3,77,4,12.5,30.6(01),18.1,1,13,22/22.5(26),5,15,0,10,6.7(22),74,164,1,99.5,3,0,18.8,18.5,24.3,7
2023-1,B013X,,12,80,2,2.3,20.6(01),10.5,0,9,28/21.1(17),,10,0,,-1.4(30),77,81,,,3,6,4.5,7.5,12.7,
2023-2,B013X,112.1(06),9,81,0,1.0,21.0(20),6.0,0,10,08/12.5(06),4,9,0,9,-2.4(11),52,82,2,196.5,2,11,7.8,7.5,14.0,5
2023-3,B013X,1.8(03),3,66,1,5.4,25.8(13),16.3,0,7,24/18.6(13),0,21,0,1,-3.2(05),91,97,0,1.8,3,3,10.4,12.5,19.6,1
