id,descripcion,tipo_datos,requerido,unidad
fecha,"año y mes (AAAA-X) donde X es un número del 1 aa 13, indicando el mes y el valor 13 indica valor anual",string,True,
indicativo,indicativo climatológico,string,True,
nombre,nombre (ubicación) de la estación,string,True,
provincia,provincia de la estación,string,True,
altitud,altitud de la estación en m sobre el nivel del mar,string,True,m
tm_mes,Temperatura media mensual/anual,string,False,°C
tm_max,Temperatura media mensual/anual de las máximas,string,False,°C
tm_min,Temperatura media mensual/anual de las mínimas,string,False,°C
ta_max,Temperatura máxima absoluta del mes/año y fecha,string,False,°C
ta_min,Temperatura mínima absoluta del mes/año y fecha,string,False,°C
ts_min,Temperatura mínima mas alta del mes/año,string,False,°C
ti_max,Temperatura máxima mas baja del mes/año,string,False,°C
nt_30,Nº de días de temperatura máxima mayor o igual que 30 °C,string,False,Nº de días
nt_00,Nº de días de temperatura mínima menor o igual que 0 °C,número de días,False,°C
p_mes,Precipitación total mensual/anual,string,False,mm
p_max,Precipitación máxima diaria del mes/año y fecha,string,False,mm (dia o fecha del año)
np_001,"Nº de días de precipitación apreciable (>= 0,1 mm) en el mes/año",string,False,Nº de días
np_010,Nº de días de precipitación mayor o igual que 1 mm en el mes/año,string,False,Nº de días
np_100,Nº de días de precipitación mayor o igual que 10 mm en el mes/año,string,False,Nº de días
np_300,Nº de días de precipitación mayor o igual que 30 mm en el mes/año,string,False,Nº de días
hr,Humedad relativa media mensual/anual,string,False,%
e,Tensión de vapor media mensual/anual,string,False,décimas de hPa
n_llu,Nº de días de lluvia en el mes/año,string,False,Nº de días
n_nie,Nº de días de nieve en el mes/año,string,False,Nº de días
n_gra,Nº de días de granizo en el mes/año,string,False,Nº de días
n_tor,Nº de días de tormenta en el mes/año,string,False,Nº de días
n_fog,Nº de días de niebla en el mes/año,string,False,Nº de días
n_des,Nº de días despejados en el mes/año,string,False,Nº de días
n_nub,Nº de días nubosos en el mes/año,string,False,Nº de días
n_cub,Nº de días cubiertos en el mes/año,string,False,Nº de días
inso,Media mensual/anual de la insolación diaria,string,False,horas
p_sol,Porcentaje medio mensual de la insolación diaria frente a la insolación teórica,string,False,%
glo,Radiación global mensual/anual,string,False,decenas de kJ/m2
evap,Evaporación total mensual/anual,string,False,décimas de mm
w_rec,Recorrido medio diario (de 07 a 07 UTC) del mes/año,string,False,km
w_racha,"Dirección, Velocidad y fecha de la racha máxima en el mes/año",string,False,Dirección en decenas de grado (99 = dirección variable)(88 = sin dato de dirección). Velocidad en m/sg
nw_55,Nº de días de velocidad del viento mayor o igual a 55 km/h en el mes/año,string,False,Nº de días
nw_91,Nº de días de velocidad del viento mayor o igual a 91 km/h en el mes/año,string,False,Nº de días
w_med,"Velocidad media mensual elaborada a partir de las observaciones de 07, 13 y 18 UTC",string,False,km/h
q_med,Presión media mensual/anual al nivel de la estación),string,False,hPa
q_max,Presión máxima absoluta mensual/anual y fecha,string,False,hPa
q_min,Presión máxima mínima mensual/anual y fecha,string,False,hPa
q_mar,Presión media mensual/anual al nivel del mar,string,False,hPa
ts_10,Temperatura media mensual/anual a 10 cm de profundidad,string,False,°C
ts_20,Temperatura media mensual/anual a 20 cm,string,False,°C
ts_50,Temperatura media mensual/anual a 20 cm,string,False,°C
nv_0050,Nº de días con visibilidad inferior a 50 m en el mes/año,string,False,Nº de días
nv_0100,Nº de días con visibilidad superior o igual a 50 m e inferior a 100 m en el mes/año,string,False,Nº de días
nv_1000,Nº de días con visibilidad superior o igual a 100 m e inferior a 1 km en el mes/año,string,False,Nº de días
