fecha,idema,p_max,hr,nw_55,tm_min,ta_max,ts_min,nt_30,w_racha,np_100,nw_91,np_001,ta_min,w_rec,e,np_300,p_mes,w_med,nt_00,ti_max,tm_mes,tm_max,np_010,n_cub,n_des,n_nub,evap,n_fog,n_tor,n_gra,n_llu,n_nie,nv_0050,nv_1000,nv_0100,q_max,q_mar,q_med,q_min,inso,p_sol,ts_20,ts_10,ts_50,glo,latitud,provincia,altitud,nombre,indsinop,longitud
2009-10,1012P,35.2(22),74.0,1.0,12.7,30.8(06),22.9,1.0,16/15.3(20),3.0,0.0,12.0,1.9(16),99.0,142.0,1.0,117.4,4.0,0.0,11.4,16.8,20.9,10.0,,,,,,,,,,,,,,,,,,,,,,,43.32638888888889,GIPUZKOA,120,IRUN,,-1.7966666666666666
2009-11,1012P,,67.0,14.0,10.6,26.9(01),17.2,0.0,25/27.2(07),,1.0,,5.3(30),254.0,107.0,,,10.0,0.0,10.3,14.1,17.5,,,,,,,,,,,,,,,,,,,,,,,,43.32638888888889,GIPUZKOA,120,IRUN,,-1.7966666666666666
2009-12,1012P,,73.0,10.0,6.6,19.6(29),16.0,0.0,14/26.1(21),,1.0,,-1.3(19),189.0,88.0,,,7.0,3.0,2.4,9.4,12.2,,,,,,,,,,,,,,,,,,,,,,,,43.32638888888889,GIPUZKOA,120,IRUN,,-1.7966666666666666
2009-1,1012P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.32638888888889,GIPUZKOA,120,IRUN,,-1.7966666666666666
2009-2,1012P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.32638888888889,GIPUZKOA,120,IRUN,,-1.7966666666666666
2009-3,1012P,30.4(04),68.0,3.0,7.1,24.5(17),13.5,0.0,29/27.8(05),4.0,1.0,13.0,3.2(04),169.0,88.0,1.0,97.8,7.0,0.0,8.6,10.9,14.6,10.0,,,,,,,,,,,,,,,,,,,,,,,43.32638888888889,GIPUZKOA,120,IRUN,,-1.7966666666666666
2009-4,1012P,74.4(10),75.0,2.0,8.4,24.6(09),11.0,0.0,12/20.0(09),10.0,0.0,18.0,6.2(18),179.0,105.0,1.0,251.6,7.0,0.0,10.5,12.2,15.9,17.0,,,,,,,,,,,,,,,,,,,,,,,43.32638888888889,GIPUZKOA,120,IRUN,,-1.7966666666666666
2009-5,1012P,24.6(14),78.0,1.0,12.0,26.2(30),15.5,0.0,23/16.4(15),4.0,0.0,17.0,8.9(06),143.0,143.0,0.0,135.8,7.0,0.0,13.5,15.6,19.0,16.0,,,,,,,,,,,,,,,,,,,,,,,43.32638888888889,GIPUZKOA,120,IRUN,,-1.7966666666666666
2009-6,1012P,9.4(14),73.0,1.0,15.5,31.6(28),20.2,1.0,24/15.3(08),0.0,0.0,16.0,13.1(08),136.0,171.0,0.0,36.0,5.0,0.0,17.3,19.5,23.4,8.0,,,,,,,,,,,,,,,,,,,,,,,43.32638888888889,GIPUZKOA,120,IRUN,,-1.7966666666666666
2009-7,1012P,13.8(16),74.0,2.0,16.6,38.1(21),20.3,3.0,15/18.6(21),1.0,0.0,16.0,14.0(31),135.0,183.0,0.0,50.4,6.0,0.0,19.4,20.6,24.6,10.0,,,,,,,,,,,,,,,,,,,,,,,43.32638888888889,GIPUZKOA,120,IRUN,,-1.7966666666666666
2009-8,1012P,25.8(01),79.0,0.0,17.3,35.8(31),20.6,4.0,24/14.7(23),3.0,0.0,15.0,13.4(30),110.0,197.0,0.0,84.8,5.0,0.0,19.2,21.0,24.7,10.0,,,,,,,,,,,,,,,,,,,,,,,43.32638888888889,GIPUZKOA,120,IRUN,,-1.7966666666666666
2009-9,1012P,26.6(18),81.0,0.0,15.4,31.0(08),19.6,1.0,22/13.3(18),4.0,0.0,10.0,11.0(06),134.0,175.0,0.0,113.0,5.0,0.0,17.2,18.7,22.0,8.0,,,,,,,,,,,,,,,,,,,,,,,43.32638888888889,GIPUZKOA,120,IRUN,,-1.7966666666666666
2010-10,1012P,50.8(10),70.0,,11.8,29.4(02),20.2,0.0,,4.0,,11.0,4.8(26),,125.0,1.0,137.2,,0.0,12.2,15.6,19.3,8.0,,,,,,,,,,,,,,,,,,,,,,,43.32638888888889,GIPUZKOA,120,IRUN,,-1.7966666666666666
2010-11,1012P,33.4(22),77.0,9.0,8.4,23.2(12),14.7,0.0,24/20.3(15),12.0,0.0,26.0,1.2(28),272.0,104.0,2.0,285.6,11.0,0.0,7.1,11.1,13.7,20.0,,,,,,,,,,,,,,,,,,,,,,,43.32638888888889,GIPUZKOA,120,IRUN,,-1.7966666666666666
2010-12,1012P,41.2(22),68.0,5.0,4.6,21.0(06),14.3,0.0,16/21.1(06),6.0,0.0,13.0,-4.0(26),158.0,75.0,1.0,153.4,7.0,6.0,2.7,8.2,11.8,12.0,,,,,,,,,,,,,,,,,,,,,,,43.32638888888889,GIPUZKOA,120,IRUN,,-1.7966666666666666
2010-1,1012P,,,,,,,,25/28.6(14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.32638888888889,GIPUZKOA,120,IRUN,,-1.7966666666666666
2010-2,1012P,18.2(08),66.0,9.0,5.5,21.8(27),13.5,0.0,19/26.1(27),3.0,1.0,19.0,-2.7(15),211.0,74.0,0.0,84.0,9.0,5.0,1.5,8.7,11.9,14.0,,,,,,,,,,,,,,,,,,,,,,,43.32638888888889,GIPUZKOA,120,IRUN,,-1.7966666666666666
2010-3,1012P,16.8(30),58.0,7.0,7.2,24.0(17),17.3,0.0,26/22.8(30),3.0,0.0,14.0,-1.3(08),202.0,78.0,0.0,68.8,9.0,2.0,3.7,11.1,15.0,8.0,,,,,,,,,,,,,,,,,,,,,,,43.32638888888889,GIPUZKOA,120,IRUN,,-1.7966666666666666
2010-4,1012P,16.8(03),69.0,,10.0,30.2(28),14.8,1.0,,2.0,,10.0,5.3(05),,111.0,0.0,71.2,6.0,0.0,12.4,14.3,18.5,8.0,,,,,,,,,,,,,,,,,,,,,,,43.32638888888889,GIPUZKOA,120,IRUN,,-1.7966666666666666
2010-5,1012P,27.8(15),73.0,,10.9,30.1(24),17.0,1.0,,4.0,,19.0,6.8(05),,126.0,0.0,127.0,7.0,0.0,10.0,14.5,18.0,16.0,,,,,,,,,,,,,,,,,,,,,,,43.32638888888889,GIPUZKOA,120,IRUN,,-1.7966666666666666
2010-6,1012P,58.6(16),76.0,,14.3,26.3(26),17.6,0.0,,3.0,,11.0,11.1(15),,159.0,1.0,120.2,7.0,0.0,13.9,17.7,21.1,10.0,,,,,,,,,,,,,,,,,,,,,,,43.32638888888889,GIPUZKOA,120,IRUN,,-1.7966666666666666
