fecha,idema,p_max,hr,nw_55,tm_min,ta_max,ts_min,nt_30,w_racha,np_100,nw_91,np_001,ta_min,w_rec,e,np_300,p_mes,w_med,nt_00,ti_max,tm_mes,tm_max,np_010,n_cub,n_des,n_nub,evap,n_fog,n_tor,n_gra,n_llu,n_nie,nv_0050,nv_1000,nv_0100,q_max,q_mar,q_med,q_min,inso,p_sol,ts_20,ts_10,ts_50,glo
2009,1012P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1012P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1012P,,74.0,,12.0,39.1(21/ago),21.6,10.0,,,,,-0.9(22/ene),,135.0,,,,4.0,2.3,15.5,19.0,,,,,,,,,,,,,,,,,,,,,,,
2012,1012P,67.0(20/oct),75.0,28.0,10.7,38.2(17/ago),22.1,16.0,26/24.4(05/ene),47.0,0.0,168.0,-5.2(08/feb),136.0,130.0,13.0,1536.8,6.0,12.0,-1.4,14.5,18.2,134.0,,,,,,,,,,,,,,,,,,,,,,
2013,1012P,89.2(08/jun),76.0,44.0,10.9,37.6(31/jul),21.0,5.0,23/27.5(26/ene),75.0,4.0,190.0,-1.9(23/feb),154.0,131.0,14.0,2169.2,7.0,4.0,3.0,14.3,17.7,156.0,,,,,,,,,,,,,,,,,,,,,,
2014,1012P,,74.0,45.0,12.0,35.8(17/jul),21.1,3.0,26/26.1(03/mar),,2.0,,-1.6(29/dic),155.0,136.0,,,7.0,3.0,4.1,15.5,19.0,,,,,,,,,,,,,,,,,,,,,,,
2015,1012P,110.0(26/abr),75.0,,11.6,37.5(30/jun),20.8,13.0,,54.0,,169.0,-1.4(04/feb),,135.0,11.0,1528.8,5.0,4.0,0.8,15.2,18.8,125.0,,,,,,,,,,,,,,,,,,,,,,
2016,1012P,75.4(09/feb),76.0,29.0,11.5,38.6(19/jul),21.5,12.0,27/22.2(13/feb),59.0,0.0,184.0,-1.4(31/dic),129.0,134.0,17.0,1871.2,6.0,1.0,6.7,15.0,18.6,142.0,,,,,,,,,,,,,,,,,,,,,,
2017,1012P,72.0(30/ago),76.0,31.0,11.2,37.3(18/jul),22.6,13.0,26/26.7(05/feb),62.0,2.0,173.0,-2.9(18/ene),123.0,135.0,10.0,1741.0,5.0,9.0,0.0,14.9,18.5,143.0,,,,,,,,,,,,,,,,,,,,,,
2018,1012P,59.8(11/abr),78.0,23.0,11.7,33.9(06/ago),22.1,4.0,28/22.8(31/mar),63.0,0.0,208.0,-5.1(27/feb),135.0,141.0,12.0,1863.8,6.0,3.0,1.9,15.0,18.3,157.0,,,,,,,,,,,,,,,,,,,,,,
2019,1012P,113.4(18/may),75.0,34.0,11.3,37.7(23/jul),22.3,10.0,28/30.3(23/ene),69.0,3.0,186.0,0.0(04/ene),131.0,134.0,13.0,2055.0,6.0,1.0,5.5,15.0,18.7,154.0,,,,,,,,,,,,,,,,,,,,,,
2020,1012P,89.4(10/may),75.0,27.0,12.1,40.6(30/jul),21.7,12.0,26/29.2(03/mar),60.0,2.0,175.0,0.5(30/mar),124.0,140.0,16.0,1857.8,5.0,0.0,5.2,15.9,19.6,141.0,,,,,,,,,,,,,,,,,,,,,,
2021,1012P,110.2(09/dic),76.0,,11.4,34.0(06/sep),21.2,5.0,,59.0,,173.0,-1.1(07/ene),,135.0,16.0,1815.0,5.0,4.0,3.4,15.0,18.5,143.0,,,,,,,,,,,,,,,,,,,,,,
2022,1012P,137.2(17/ago),74.0,41.0,12.7,41.1(18/jun),26.6,21.0,32/23.9(02/abr),50.0,0.0,158.0,-0.4(22/ene),136.0,143.0,14.0,1702.7,6.0,1.0,4.1,16.4,20.1,123.0,193.0,52.0,117.0,,,,,,,,,,,,,,,,,,,
2023,1012P,73.8(16/ene),75.0,,12.5,36.3(23/ago),22.6,16.0,,68.0,,171.0,-0.1(22/ene),,146.0,16.0,1921.8,,1.0,2.8,16.2,19.8,137.0,179.0,50.0,136.0,,,,,,,,,,,,,,,,,,,
2024,1012P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,1014,,78.0,,8.6,32.0(08/sep),21.1,5.0,,,,,-13.0(03/feb),,128.0,,,,41.0,-4.0,12.9,17.1,,,,,,,,,,,,,,,,,,,,,,,
1957,1014,57.7(10/jun),78.0,,10.2,38.0(04/jul),21.2,7.0,,39.0,,148.0,-5.8(18/ene),,135.0,7.0,1167.5,,12.0,0.7,14.3,18.4,115.0,,,,,0.0,0.0,0.0,149.0,0.0,,,,,,,,,,,,,
1958,1014,70.3(23/dic),76.0,,10.7,39.0(09/ago),21.4,15.0,,59.0,,179.0,-1.2(13/abr),,136.0,10.0,1643.0,3.0,5.0,4.5,14.8,18.8,153.0,,,,12161.0,0.0,0.0,0.0,181.0,0.0,,,,,,,,,,,,,
1959,1014,214.0(24/sep),75.0,,10.7,37.0(04/jul),22.0,6.0,,62.0,,154.0,-3.0(11/ene),,140.0,11.0,1815.6,5.0,12.0,4.2,14.9,19.2,139.0,,,,12440.0,2.0,1.0,0.0,177.0,0.0,,,,,,,,,,,,,
1960,1014,102.8(29/dic),74.0,,10.0,34.4(21/ago),20.6,6.0,,71.0,,192.0,-4.5(11/ene),,126.0,24.0,2416.6,13.0,17.0,1.4,14.1,18.1,167.0,176.0,20.0,170.0,14686.0,7.0,19.0,1.0,204.0,1.0,,,,,,,,,,,,,
1961,1014,126.8(03/sep),75.0,,10.3,36.4(29/ago),21.8,11.0,,64.0,,148.0,-4.5(20/dic),,134.0,15.0,1861.4,11.0,7.0,5.4,14.7,19.1,127.0,150.0,38.0,177.0,15725.0,28.0,18.0,0.0,164.0,0.0,0.0,2.0,0.0,1037.6(05/mar),1018.7,1017.7,985.4(12/nov),,,,,,
1962,1014,81.0(31/may),82.0,30.0,9.2,38.0(02/sep),21.0,11.0,23/21.9(13/feb),62.0,0.0,176.0,-7.6(25/dic),,136.0,12.0,1689.2,12.0,28.0,-4.0,13.4,17.6,147.0,156.0,36.0,173.0,14512.0,14.0,17.0,2.0,182.0,0.0,0.0,0.0,0.0,1039.8(16/feb),1018.8,1017.9,984.1(04/mar),,,,,,
