iter	Passed	Remaining
0	89	17900
1	176	17490
2	271	17848
3	360	17669
4	448	17474
5	538	17413
6	632	17442
7	724	17385
8	814	17278
9	911	17319
10	1013	17408
11	1099	17225
12	1191	17135
13	1280	17014
14	1370	16902
15	1461	16810
16	1553	16723
17	1643	16621
18	1732	16503
19	1824	16424
20	1918	16355
21	2009	16255
22	2098	16151
23	2192	16075
24	2282	15980
25	2372	15875
26	2463	15781
27	2554	15691
28	2646	15607
29	2736	15507
30	2830	15432
31	2922	15342
32	3011	15239
33	3103	15150
34	3192	15052
35	3290	14987
36	3386	14918
37	3476	14820
38	3566	14724
39	3657	14629
40	3749	14539
41	3839	14443
42	3929	14347
43	4019	14252
44	4110	14160
45	4202	14070
46	4296	13984
47	4386	13889
48	4476	13795
49	4566	13700
50	4656	13604
51	4745	13506
52	4836	13413
53	4928	13323
54	5019	13232
55	5110	13140
56	5202	13052
57	5293	12958
58	5381	12861
59	5472	12769
60	5563	12676
61	5655	12587
62	5746	12496
63	5838	12406
64	5926	12309
65	6017	12216
66	6108	12125
67	6201	12038
68	6292	11946
69	6384	11856
70	6474	11763
71	6563	11668
72	6655	11579
73	6745	11486
74	6835	11393
75	6926	11301
76	7017	11209
77	7107	11116
78	7198	11025
79	7290	10935
80	7379	10841
81	7470	10750
82	7561	10659
83	7652	10567
84	7743	10476
85	7834	10384
86	7924	10293
87	8015	10201
88	8109	10114
89	8201	10024
90	8291	9931
91	8385	9843
92	8476	9752
93	8567	9660
94	8657	9569
95	8749	9478
96	8839	9385
97	8929	9293
98	9019	9202
99	9107	9107
100	9198	9016
101	9288	8924
102	9379	8833
103	9471	8743
104	9563	8652
105	9655	8562
106	9745	8470
107	9835	8378
108	9925	8286
109	10012	8192
110	10101	8099
111	10192	8008
112	10279	7914
113	10368	7821
114	10455	7728
115	10545	7636
116	10635	7544
117	10733	7458
118	10821	7365
119	10912	7275
120	11001	7183
121	11093	7092
122	11182	7000
123	11275	6910
124	11363	6818
125	11453	6726
126	11540	6633
127	11629	6541
128	11719	6450
129	11812	6360
130	11909	6273
131	12003	6183
132	12096	6093
133	12186	6002
134	12277	5911
135	12365	5819
136	12456	5728
137	12544	5636
138	12634	5544
139	12728	5455
140	12820	5364
141	12909	5273
142	13000	5181
143	13090	5090
144	13181	4999
145	13274	4909
146	13365	4818
147	13454	4727
148	13543	4635
149	13634	4544
150	13723	4453
151	13813	4362
152	13903	4270
153	13993	4179
154	14084	4088
155	14172	3997
156	14261	3906
157	14351	3814
158	14442	3724
159	14532	3633
160	14620	3541
161	14709	3450
162	14800	3359
163	14890	3268
164	14982	3178
165	15073	3087
166	15164	2996
167	15254	2905
168	15343	2814
169	15433	2723
170	15523	2632
171	15615	2542
172	15706	2451
173	15798	2360
174	15891	2270
175	15982	2179
176	16074	2088
177	16165	1997
178	16256	1907
179	16348	1816
180	16438	1725
181	16530	1634
182	16620	1543
183	16709	1453
184	16799	1362
185	16891	1271
186	16982	1180
187	17072	1089
188	17164	998
189	17254	908
190	17344	817
191	17436	726
192	17527	635
193	17619	544
194	17710	454
195	17807	363
196	17897	272
197	17996	181
198	18092	90
199	18183	0
