iter	Passed	Remaining
0	158	39520
1	179	22199
2	200	16474
3	215	13282
4	234	11474
5	251	10242
6	268	9313
7	286	8657
8	287	7706
9	307	7371
10	327	7107
11	346	6879
12	366	6689
13	384	6481
14	404	6344
15	425	6222
16	444	6094
17	445	5738
18	464	5647
19	483	5565
20	484	5287
21	498	5166
22	518	5118
23	536	5053
24	552	4974
25	562	4848
26	566	4674
27	583	4625
28	600	4572
29	608	4464
30	628	4436
31	648	4418
32	669	4401
33	689	4380
34	708	4352
35	725	4315
36	743	4282
37	759	4239
38	776	4199
39	793	4164
40	793	4047
41	810	4016
42	828	3989
43	829	3883
44	847	3860
45	865	3839
46	884	3818
47	901	3794
48	918	3766
49	937	3750
50	954	3722
51	971	3699
52	989	3678
53	1007	3658
54	1024	3631
55	1027	3557
56	1044	3535
57	1062	3517
58	1080	3498
59	1097	3475
60	1116	3460
61	1134	3441
62	1153	3425
63	1174	3413
64	1194	3399
65	1211	3378
66	1227	3352
67	1243	3329
68	1261	3308
69	1277	3285
70	1296	3267
71	1313	3246
72	1330	3226
73	1347	3205
74	1364	3184
75	1381	3162
76	1398	3141
77	1415	3120
78	1433	3103
79	1449	3080
80	1466	3060
81	1483	3040
82	1502	3023
83	1520	3004
84	1536	2982
85	1554	2964
86	1573	2948
87	1593	2933
88	1610	2913
89	1629	2896
90	1646	2877
91	1668	2865
92	1691	2854
93	1711	2839
94	1732	2827
95	1751	2809
96	1765	2784
97	1777	2756
98	1795	2738
99	1808	2712
100	1825	2693
101	1843	2675
102	1863	2660
103	1864	2617
104	1885	2604
105	1906	2590
106	1923	2570
107	1942	2553
108	1963	2539
109	1977	2516
110	1995	2498
111	2016	2484
112	2036	2468
113	2059	2457
114	2076	2437
115	2096	2422
116	2116	2405
117	2135	2388
118	2154	2371
119	2170	2351
120	2187	2331
121	2205	2313
122	2225	2298
123	2248	2284
124	2269	2269
125	2285	2249
126	2303	2230
127	2320	2211
128	2337	2192
129	2355	2173
130	2372	2155
131	2391	2137
132	2392	2104
133	2405	2082
134	2425	2066
135	2444	2049
136	2464	2032
137	2481	2014
138	2498	1995
139	2511	1973
140	2529	1955
141	2545	1936
142	2563	1918
143	2580	1899
144	2596	1880
145	2616	1863
146	2634	1845
147	2649	1826
148	2666	1807
149	2684	1789
150	2700	1770
151	2716	1751
152	2732	1732
153	2741	1709
154	2760	1691
155	2777	1673
156	2793	1654
157	2812	1637
158	2830	1619
159	2846	1601
160	2865	1583
161	2881	1565
162	2899	1547
163	2917	1529
164	2934	1511
165	2950	1492
166	2958	1470
167	2975	1452
168	2991	1433
169	3010	1416
170	3027	1398
171	3044	1380
172	3063	1363
173	3083	1346
174	3102	1329
175	3120	1311
176	3138	1294
177	3157	1277
178	3175	1259
179	3194	1242
180	3213	1225
181	3233	1207
182	3249	1189
183	3262	1170
184	3280	1152
185	3297	1134
186	3313	1116
187	3332	1099
188	3352	1081
189	3369	1064
190	3380	1044
191	3402	1027
192	3421	1010
193	3438	992
194	3456	974
195	3476	957
196	3492	939
197	3512	922
198	3537	906
199	3557	889
200	3576	871
201	3589	852
202	3601	833
203	3620	816
204	3639	798
205	3650	779
206	3666	761
207	3685	744
208	3705	726
209	3706	705
210	3720	687
211	3737	669
212	3753	652
213	3772	634
214	3787	616
215	3803	598
216	3819	580
217	3834	562
218	3849	544
219	3866	527
220	3878	508
221	3895	491
222	3911	473
223	3923	455
224	3939	437
225	3953	419
226	3968	402
227	3985	384
228	4000	366
229	4017	349
230	4033	331
231	4050	314
232	4065	296
233	4081	279
234	4097	261
235	4113	244
236	4127	226
237	4143	208
238	4158	191
239	4171	173
240	4187	156
241	4205	139
242	4216	121
243	4230	104
244	4247	86
245	4264	69
246	4279	51
247	4294	34
248	4310	17
249	4327	0
