iter	RMSE
0	6119.323886
1	5410.599875
2	4546.353176
3	3907.954073
4	3392.214783
5	3071.667323
6	2838.736159
7	2678.643352
8	2516.00864
9	2373.663679
10	2267.640092
11	2122.088945
12	2050.894612
13	1971.031207
14	1928.026073
15	1855.963817
16	1832.13147
17	1783.436666
18	1749.31868
19	1731.347131
20	1688.103148
21	1631.678354
22	1579.337281
23	1557.781563
24	1533.27075
25	1513.030819
26	1480.71272
27	1462.890496
28	1444.38877
29	1416.565578
30	1403.749074
31	1387.928385
32	1365.196576
33	1346.508549
34	1338.411671
35	1332.380674
36	1320.65705
37	1297.810197
38	1294.07645
39	1280.142037
40	1266.299583
41	1250.44995
42	1233.755794
43	1215.959204
44	1201.54717
45	1178.958478
46	1171.792434
47	1155.455214
48	1148.098484
49	1140.274175
50	1135.091372
51	1125.56258
52	1108.151399
53	1104.347496
54	1096.829905
55	1088.840752
56	1082.406387
57	1075.863904
58	1071.035343
59	1067.540038
60	1063.129444
61	1054.133373
62	1048.554966
63	1038.631179
64	1033.829725
65	1028.748372
66	1026.828697
67	1021.049074
68	1015.323402
69	1008.150494
70	1006.515045
71	1002.325657
72	998.6390692
73	995.1538865
74	987.266611
75	981.6688238
76	975.2602895
77	973.1200272
78	968.6719605
79	958.2034235
80	956.3442835
81	951.3915103
82	946.7203146
83	943.6706045
84	941.6451631
85	939.4747258
86	934.0554775
87	930.5811278
88	924.757508
89	915.7559364
90	912.391306
91	909.3355369
92	906.2616797
93	899.9174947
94	894.6886484
95	892.3810193
96	890.9646344
97	886.5178431
98	884.4069532
99	883.5479898
