iter	Passed	Remaining
0	1	1760
1	3	1721
2	4	1629
3	6	1581
4	8	1597
5	10	177566	12	177977	14	174388	15	169999	17	1685110	18	1677111	20	1687112	22	1674113	23	1670114	25	1682
15	27	1677
16	28	1672
17	30	1672
18	32	1657
19	33	1661
20	35	1661
21	37	1651
22	38	1652
23	40	1648
24	41	1633
25	43	1628
26	45	1628
27	46	1622
28	48	1615
29	49	1606330	51	1595331	52	1594332	54	1592333	55	1586334	57	1581335	59	1583336	60	1584337	62	1584338	64	1585339	65	1582440	67	1581441	69	1579442	70	1573443	72	1579444	74	1578445	76	1578446	77	1574447	79	1571448	80	1570449	82	1571550	84	1574551	86	1575552	88	1574553	89	1572554	91	1569555	93	1570556	94	1565557	96	1566558	97	1562559	99	1559660	101	1556161	102	1556262	104	1556363	106	1556464	108	1556565	109	1556666	111	1556767	112	1546868	114	1546969	116	1547070	117	1547171	119	1537272	120	1537373	122	15374	122	1515
75	124	1514
76	126	1514
77	128	1513
78	129	1512
79	131	1510
80	133	1510
81	134	1507
82	136	1504
83	137	1500
84	139	1499
85	141	1500
86	142	1497
87	144	1494
88	145	1491
89	147	1490
90	149	1490
91	151	1493
92	153	1492
93	154	1492
94	156	1493
95	158	1492
96	160	1492
9797	163	1509898	165	1509999	167	15010100	169	15010101	170	15010102	172	15010103	174	14910104	175	14910105	177	14910106	178	14910107	180	14910108	182	14910109	183	14811110	185	14811111	186	14811112	188	14711113	190	14811114	191	14711115	193	14711116	195	14711117	196	14611118	198	14611119	199	14612120	201	14612121	202	14512122	204	14512123	206	14512124	207	14512125	209	14512126	210	14412127	212	14412128	214	14412129	215	14413130	217	14413131	219	14413132	220	14313133	222	14313134	224	14313135	225	14313136	227	14313137	228	14313138	229	14213139	231	14214140	233	142141	233	1409
142	234	1404
14143	237	141144	237	1401
145	239	1399
14146	242	14014147	243	14014148	245	14014149	247	13915150	248	13915151	250	13915152	251	13915153	253	13915154	254	13815155	256	138156	256	1377
157	258	1376
15158	261	13815159	262	137160	263	1372
16161	266	137162	266	1368
163	268	1368
164	270	1366
16165	272	13716166	274	13616167	276	13616168	278	13616169	279	13617170	281	136171	281	1353
172	282	1350
173	284	1350
174	285	1347
175	287	1346
176	289	1344
177	290	1342
178	292	1341
179	294	1340
180	296	1340
181	297	1338
182	299	1336
183	301	1335
184	302	1332
185	304	1330
186	305	1328
187	307	1327
188	309	1327
189	310	1325
190	312	1323
191	313	1321
192	315	1319
193	317	1317
194	318	1314
195	319	1312
196	321	1310
197	323	1309
198	325	1308
199	326	1306
200	328	1305
201	329	1302
202	331	1300
203	333	1300
204	334	1298
205	336	1295
206	337	1294
207	339	1291
208	340	1287
209	341	1286
21210	344	12821211	346	12821212	347	12821213	349	12821214	351	12821215	352	12821216	354	12721217	355	12721218	357	12721219	359	12722220	360	12722221	362	12622222	363	12622223	365	12622224	366	12622225	368	12622226	369	12522227	371	12522228	372	12522229	374	12523230	376	12523231	377	12523232	379	12423233	381	12423234	383	12423235	384	12423236	386	1243
237	387	1241
238	389	12323239	391	1238
240	392	1237
241	394	1235
242	395	1233
243	397	12324244	398	12224245	400	1228
246	402	1226
247	404	1225
248	406	1224
249	407	1222
250	409	1221
251	410	1219
252	412	1217
253	414	1215
254	415	1214
255	416	1211
256	418	1209
257	420	1208
258	421	1206
259	423	1205
260	424	1202
261	426	1200
262	427	1198
263	429	1196
264	431	1195
265	432	1193
266	434	1192
267	435	1190
268	437	1188
269	439	1186
270	440	1185
271	442	1183
272	443	1182
273	445	1179
274	447	1178
275	448	1176
276	450	1175
277	451	1173
278	453	1172
279	455	1170
280	457	1169
281	458	1167
282	460	1166
283	462	1165
284	464	1164
285	465	1163
286	467	1161
287	469	1161
288	471	1160
289	473	1159
290	475	1157
291	477	1157
292	479	1157
293	481	1155
294	483	1154
295	484	1152
296	486	1150
297	488	1150
298	490	1149
299	491	1147
300	493	1146
301	495	1145
302	497	1143
303	498	1141
304	500	1139
305	501	1137
