iter	Passed	Remaining
0	7	7414
1	13	6662
2	19	6410
3	25	6248
4	30	6132
5	36	6002
6	42	5983
7	48	5979
8	53	5882
9	59	5861
10	64	5802
11	71	5858
12	77	5853
13	82	5824
14	88	5795
15	93	5763
16	99	5729
17	104	5705
18	109	5656
19	115	5638
20	120	5611
21	125	5590
22	130	5546
23	136	5536
24	141	5503
25	145	5465
26	151	5476
27	158	5492
28	163	5471
29	168	5452
30	173	5422
31	178	5404
32	184	5395
33	190	5411
34	195	5403
35	201	5387
36	206	5383
37	212	5376
38	218	5372
39	223	5358
40	227	5328
41	233	5318
42	238	5309
43	245	5334
44	251	5330
45	256	5315
46	261	5292
47	266	5282
48	271	5272
49	276	5260
50	282	5248
51	287	5234
52	292	5230
53	298	5229
54	304	5226
55	309	5225
56	315	5216
57	320	5207
58	325	5195
59	330	5183
60	337	5193
61	342	5177
62	347	5167
63	352	5154
64	357	5142
65	362	5134
66	367	5122
67	372	5111
68	377	5094
69	382	5087
70	388	5079
71	392	5064
72	398	5065
73	404	5061
74	409	5052
75	414	5043
76	420	5036
77	425	5026
78	430	5018
79	435	5009
80	440	5002
81	446	4993
82	451	4984
83	457	4984
84	462	4974
85	468	4977
86	474	4980
87	479	4969
88	485	4968
89	491	4972
90	498	4976
91	503	4971
92	509	4973
93	516	4973
94	521	4972
95	527	4964
96	533	4964
97	539	4964
98	545	4963
99	551	4966
100	558	4966
101	564	4966
102	570	4966
103	576	4967
104	582	4967
105	588	4966
106	594	4963
107	600	4961
108	606	4953
109	611	4946
110	617	4944
111	622	4934
112	627	4926
113	633	4920
114	638	4913
115	644	4913
116	649	4902
117	654	4893
118	660	4886
119	665	4880
120	671	4875
121	676	4869
122	682	4867
123	688	4861
124	693	4857
125	699	4854
126	705	4847
127	711	4845
128	717	4842
129	723	4839
130	729	4838
131	735	4835
132	741	4830
133	746	4826
134	752	4821
135	758	4816
136	764	4813
137	769	4806
138	775	4802
139	781	4798
140	786	4791
141	791	4781
142	797	4777
143	802	4769
144	807	4762
145	812	4752
146	818	4749
147	824	4744
148	829	4736
149	834	4729
150	839	4722
151	844	4713
152	849	4704
153	855	4699
154	860	4692
155	866	4686
156	872	4682
157	876	4671
158	882	4667
159	888	4662
160	892	4651
161	897	4644
162	903	4638
163	908	4631
164	914	4626
165	919	4620
166	924	4613
167	930	4606
168	934	4596
169	940	4591
170	946	4586
171	950	4576
172	956	4572
173	962	4570
174	969	4568
175	974	4564
176	987	4593
177	996	4600
178	1005	4609
179	1014	4619
180	1020	4617
181	1027	4618
182	1035	4621
183	1041	4616
184	1046	4610
185	1051	4601
186	1056	4593
187	1061	4586
188	1066	4576
189	1071	4569
190	1076	4560
191	1081	4549
192	1086	4542
193	1091	4535
194	1096	4526
195	1102	4521
196	1106	4510
197	1111	4502
198	1116	4495
199	1122	4490
200	1127	4482
201	1132	4474
202	1137	4467
203	1143	4462
204	1148	4452
205	1153	4447
206	1158	4438
207	1163	4429
208	1168	4422
209	1173	4413
210	1178	4405
211	1183	4397
212	1187	4388
213	1192	4381
214	1198	4376
215	1203	4369
216	1209	4362
217	1214	4357
218	1219	4350
219	1225	4344
220	1230	4337
221	1236	4332
222	1241	4325
223	1247	4321
224	1252	4314
225	1258	4308
226	1262	4299
227	1267	4292
228	1273	4286
229	1277	4277
230	1282	4270
231	1288	4266
232	1293	4258
233	1299	4253
234	1304	4245
235	1309	4238
236	1314	4231
237	1319	4223
238	1324	4217
239	1329	4211
240	1334	4202
241	1339	4195
242	1344	4188
243	1349	4181
244	1354	4174
245	1359	4166
246	1364	4160
247	1369	4153
248	1374	4146
249	1379	4139
250	1384	4132
251	1389	4124
252	1394	4116
253	1400	4112
254	1405	4105
255	1410	4098
256	1415	4091
257	1420	4084
258	1425	4077
259	1430	4070
260	1435	4064
261	1441	4059
262	1446	4054
263	1451	4047
264	1456	4040
265	1462	4036
266	1468	4030
267	1473	4025
268	1479	4020
269	1485	4016
270	1491	4011
271	1496	4005
272	1502	4000
273	1507	3994
274	1513	3990
275	1520	3989
276	1527	3988
277	1533	3983
278	1539	3978
279	1544	3972
280	1550	3966
281	1555	3961
282	1561	3956
283	1567	3951
284	1572	3945
285	1577	3938
286	1582	3931
287	1587	3925
288	1593	3919
289	1598	3912
290	1603	3907
291	1608	3900
292	1614	3895
293	1619	3888
294	1624	3883
295	1630	3878
296	1635	3871
297	1640	3865
298	1646	3859
299	1651	3854
300	1658	3851
301	1663	3845
302	1669	3839
303	1674	3833
304	1679	3828
305	1685	3821
306	1690	3815
307	1695	3810
308	1701	3805
309	1706	3798
310	1712	3793
311	1717	3788
312	1723	3783
313	1729	3777
314	1735	3773
315	1740	3767
316	1745	3761
317	1750	3754
318	1756	3749
319	1761	3742
320	1767	3738
321	1773	3733
322	1778	3727
