iter	RMSE
0	380.3672085
1	364.5406847
2	349.1221261
3	335.050835
4	321.9355159
5	309.0781328
6	296.7795473
7	285.5260108
8	274.7687266
9	264.5997549
10	255.0351615
11	246.0763684
12	237.6578251
13	229.8365947
14	222.504301
15	215.3539411
16	208.7743152
17	202.5122513
18	196.8234048
19	191.4203196
20	186.3073393
21	181.2763451
22	176.6817384
23	172.3491645
24	168.2476405
25	164.4556467
26	161.0743771
27	157.860205
28	154.7513862
29	151.9394769
30	149.272167
31	146.8957574
32	144.5530836
33	142.1947014
34	140.1509049
35	138.3522142
36	136.611195
37	134.9834861
38	133.3807131
39	131.9214275
40	130.5349383
41	129.2910227
42	128.0898941
43	126.8313679
44	125.887641
45	124.9032176
46	123.9819765
47	123.1601968
48	122.2912452
49	121.452534
50	120.6976012
51	119.9112576
52	119.2644519
53	118.5759406
54	117.9196713
55	117.2661446
56	116.733835
57	116.2668372
58	115.7468742
59	115.276604
60	114.7413309
61	114.3214854
62	113.8656165
63	113.4736905
64	113.0445458
65	112.6709435
66	112.3589879
67	111.9932947
68	111.6491988
69	111.3641216
70	111.0122879
71	110.6498284
72	110.3753769
73	110.0817142
74	109.8073055
75	109.5031708
76	109.2791017
77	109.0209591
78	108.7447754
79	108.4264991
80	108.1592666
81	107.8477884
82	107.5597354
83	107.3460269
84	106.9981032
85	106.8671525
86	106.6153634
87	106.398647
88	106.2284382
89	105.9974239
90	105.710074
91	105.4219855
92	105.2181509
93	105.0304877
94	104.8545623
95	104.620703
96	104.3812879
97	104.1442447
98	103.9283186
99	103.6649359
100	103.4617731
101	103.1456933
102	102.9930099
103	102.8203717
104	102.576552
105	102.4115377
106	102.2449997
107	102.1309791
108	101.9527592
109	101.7279057
110	101.519334
111	101.3168632
112	101.1654362
113	100.9522539
114	100.7328396
115	100.5410101
116	100.313205
117	100.0729289
118	99.94382713
119	99.83999185
120	99.68683813
121	99.49758747
122	99.36086011
123	99.175145
124	99.00548155
125	98.85982636
126	98.66707219
127	98.54872
128	98.43410365
129	98.33027817
130	98.17532436
131	97.97234789
132	97.75514672
133	97.59664059
134	97.48001849
135	97.29791745
136	97.16984256
137	96.96404113
138	96.78165497
139	96.60154715
140	96.46617176
141	96.34897897
142	96.16892618
143	96.02627263
144	95.87484628
145	95.70130066
146	95.55040662
147	95.45288611
148	95.26557815
149	95.1616141
150	94.99502172
151	94.90326815
152	94.71711854
153	94.59614898
154	94.44929381
155	94.3342358
156	94.12722413
157	94.02834343
158	93.89584426
159	93.76406534
160	93.64151605
161	93.49060167
162	93.36429059
163	93.27302131
164	93.18077563
165	93.08862938
166	92.91381231
167	92.74455688
168	92.60601527
169	92.49155689
170	92.3486469
171	92.16698404
172	91.99308324
173	91.91060064
174	91.76074819
175	91.55935451
176	91.42378228
177	91.22528605
178	91.12929767
179	90.98588969
180	90.86507706
181	90.75340525
182	90.55852654
183	90.42918942
184	90.30626166
185	90.15228911
186	90.02308197
187	89.90884824
188	89.81791668
189	89.66116908
190	89.55670939
191	89.41977957
192	89.3674583
193	89.20659723
194	89.12002742
195	88.95021421
196	88.80157696
197	88.64060083
198	88.46334286
199	88.34415083
200	88.22634218
201	88.06880028
202	87.99938319
203	87.89233075
204	87.76644322
205	87.62338052
206	87.5255756
207	87.34290276
208	87.1829335
209	87.01875887
210	86.89379749
211	86.7941102
212	86.65607091
213	86.46667802
214	86.31983964
215	86.2215508
216	86.13796282
217	85.98005806
218	85.85083408
219	85.67426659
220	85.54670188
221	85.4160869
222	85.26794212
223	85.12036568
224	85.01797581
225	84.85657161
226	84.75629704
227	84.69219051
228	84.56520596
229	84.412586
230	84.29522008
231	84.21422579
232	84.11821434
233	83.96199879
234	83.85373042
235	83.7070902
236	83.64098864
237	83.48327105
238	83.38426478
239	83.25054304
240	83.12874534
241	83.02392289
242	82.88859607
243	82.68701171
244	82.52116848
245	82.3847309
246	82.29477052
247	82.13909948
248	82.00062524
249	81.9032167
250	81.79208164
251	81.7102403
252	81.58815593
253	81.46799975
254	81.28019679
255	81.19583252
256	81.12240762
257	81.04058671
258	80.91679745
259	80.8081467
260	80.723063
261	80.64202599
262	80.54609904
263	80.4577932
264	80.3775337
265	80.27292061
266	80.20929455
267	80.060463
268	79.94374284
269	79.77384152
270	79.66957731
271	79.5362613
272	79.40537505
273	79.27424633
274	79.16762312
275	78.99611642
276	78.8515425
277	78.72370412
278	78.62931839
279	78.50491598
280	78.42465543
281	78.28272821
282	78.23087119
283	78.08637063
284	78.00203446
285	77.89812083
286	77.81432739
287	77.71390457
288	77.62374428
289	77.53321038
290	77.44492288
291	77.34614013
292	77.22045455
293	77.15658622
294	77.08003124
295	76.9606878
296	76.82167718
297	76.72710319
298	76.62415996
299	76.48779113
300	76.38113111
301	76.26771324
302	76.11420797
303	75.98334805
304	75.88389156
305	75.77428563
306	75.67680595
307	75.63345479
308	75.52791911
309	75.44885423
310	75.39911811
311	75.29176122
312	75.16763189
313	75.08697869
314	74.96687703
315	74.87150225
316	74.78259888
317	74.65512411
318	74.57846414
319	74.51427744
320	74.46051582
321	74.37165927
322	74.30782816
323	74.1982
324	74.13052685
325	74.05307228
326	73.9669949
327	73.87018031
328	73.78063983
329	73.71958711
330	73.58389122
331	73.52264261
332	73.44033194
333	73.36110773
334	73.28242557
335	73.19675224
336	73.11741655
337	72.98780195
338	72.89674227
339	72.76984824
340	72.67417614
341	72.57865441
342	72.50813944
343	72.44130735
344	72.38995649
345	72.35583157
346	72.25735461
347	72.18456514
348	72.0493534
349	71.92492609
350	71.84219731
351	71.75727305
352	71.70491646
353	71.62525015
354	71.51632325
355	71.4718813
356	71.42489225
357	71.30637932
358	71.2564322
359	71.18914009
360	71.08519571
361	70.94330479
362	70.81788431
363	70.7652347
364	70.66831917
365	70.57600248
366	70.48846035
367	70.39175732
368	70.30350277
369	70.19398397
370	70.13644746
371	70.03731844
372	69.93113976
373	69.87837848
374	69.81357889
375	69.70626019
376	69.62952327
377	69.55234399
378	69.40843234
379	69.36209418
380	69.29240348
381	69.21345207
382	69.12682403
383	69.10769909
384	69.04439665
385	68.99153946
386	68.90626312
387	68.78271797
388	68.6935748
389	68.6610407
390	68.59962854
391	68.52370541
392	68.4298915
393	68.31691656
394	68.26508236
395	68.20122452
396	68.10961223
397	68.04474293
398	67.95488178
399	67.86089847
400	67.7903072
401	67.72453683
402	67.6725565
403	67.55407903
404	67.47506473
405	67.4187351
406	67.35294347
407	67.29068017
408	67.15985534
409	67.08633978
410	67.02336547
411	66.95565729
412	66.80425289
413	66.72018096
414	66.64892454
