iter	Passed	Remaining
0	17	17043
1	32	16376
2	49	16423
3	55	13735
4	70	14042
5	86	14278
6	101	14402
7	116	14458
8	131	14491
9	147	14578
10	162	14632
11	177	14636
12	192	14639
13	208	14650
14	223	14688
15	238	14682
16	254	14724
17	269	14720
18	285	14741
19	300	14731
20	316	14733
21	331	14725
22	346	14725
23	362	14722
24	377	14732
25	394	14765
26	409	14765
27	425	14766
28	440	14748
29	456	14759
30	471	14749
31	487	14732
32	502	14732
33	518	14730
34	533	14709
35	549	14703
36	564	14704
37	580	14695
38	595	14668
39	611	14668
40	626	14655
41	642	14644
42	657	14626
43	672	14614
44	688	14612
45	703	14598
46	718	14571
47	733	14549
48	749	14550
49	765	14548
50	781	14546
51	797	14538
52	812	14520
53	828	14506
54	843	14488
55	857	14463
56	872	14440
57	888	14423
58	903	14411
59	918	14393
60	934	14385
61	949	14369
62	965	14361
63	981	14353
64	996	14334
65	1012	14321
66	1027	14307
67	1043	14306
68	1058	14284
69	1074	14275
70	1089	14261
71	1105	14245
72	1120	14234
73	1138	14245
74	1154	14237
75	1170	14232
76	1187	14236
77	1203	14224
78	1218	14201
79	1233	14183
80	1248	14170
81	1264	14154
82	1280	14148
83	1296	14143
84	1312	14132
85	1329	14125
86	1345	14114
87	1360	14100
88	1375	14083
89	1391	14065
90	1406	14054
91	1422	14036
92	1438	14027
93	1457	14044
94	1475	14054
95	1492	14052
96	1511	14070
97	1528	14067
98	1546	14071
99	1561	14056
100	1577	14044
101	1593	14032
102	1609	14016
103	1625	14004
104	1640	13987
105	1656	13970
106	1671	13952
107	1687	13937
108	1702	13918
109	1718	13900
110	1733	13884
111	1748	13866
112	1764	13849
113	1779	13831
114	1795	13820
115	1812	13815
116	1831	13825
117	1850	13830
118	1867	13828
119	1885	13825
120	1900	13808
121	1917	13796
122	1933	13787
123	1949	13770
124	1965	13761
125	1982	13749
126	1999	13746
127	2016	13740
128	2033	13726
129	2048	13709
130	2064	13696
131	2080	13682
132	2096	13668
133	2113	13658
134	2128	13641
135	2144	13622
136	2160	13608
137	2175	13590
138	2191	13576
139	2207	13561
140	2223	13547
141	2239	13528
142	2254	13509
143	2269	13493
144	2285	13475
145	2301	13462
146	2316	13443
147	2334	13436
148	2349	13419
149	2365	13403
150	2380	13386
151	2396	13370
152	2413	13359
153	2429	13347
154	2445	13330
155	2460	13310
156	2476	13296
157	2491	13279
158	2507	13264
159	2523	13248
160	2538	13230
161	2554	13213
162	2569	13194
163	2584	13175
164	2600	13158
165	2616	13143
166	2631	13127
167	2647	13110
168	2662	13092
169	2677	13072
170	2692	13054
171	2708	13036
172	2724	13023
173	2739	13002
174	2754	12984
175	2769	12967
176	2785	12951
177	2800	12931
178	2815	12914
179	2831	12899
180	2846	12881
181	2862	12866
182	2878	12849
183	2894	12834
184	2910	12820
185	2939	12863
186	2961	12876
187	2983	12887
188	2999	12871
189	3015	12855
190	3030	12837
191	3046	12821
192	3061	12800
193	3076	12782
194	3092	12765
195	3107	12745
196	3122	12727
197	3138	12711
198	3154	12695
199	3170	12681
200	3185	12662
201	3200	12643
202	3216	12630
203	3232	12613
204	3247	12592
205	3262	12573
206	3278	12559
207	3294	12543
208	3309	12524
209	3324	12505
210	3340	12491
211	3355	12474
212	3371	12455
213	3386	12438
214	3401	12418
215	3416	12401
216	3432	12384
217	3447	12365
218	3463	12350
219	3477	12330
220	3493	12314
221	3508	12297
222	3525	12284
223	3541	12269
224	3557	12253
225	3572	12235
226	3587	12217
227	3602	12199
228	3618	12181
229	3633	12164
230	3649	12148
231	3664	12130
232	3679	12112
233	3694	12094
234	3710	12077
235	3726	12062
236	3741	12046
237	3757	12030
238	3772	12013
239	3788	11997
240	3804	11980
241	3819	11963
242	3835	11947
243	3850	11930
244	3866	11914
245	3881	11897
246	3897	11881
247	3912	11864
248	3928	11848
249	3944	11834
250	3960	11818
251	3975	11801
252	3991	11785
253	4007	11769
254	4022	11753
255	4038	11736
256	4053	11718
257	4069	11702
258	4084	11685
259	4099	11668
260	4115	11651
261	4130	11635
262	4146	11620
263	4161	11602
264	4176	11584
265	4191	11565
266	4206	11547
267	4221	11531
268	4238	11516
269	4253	11499
270	4269	11484
271	4284	11467
272	4299	11450
273	4315	11433
274	4330	11415
275	4345	11398
276	4360	11382
277	4376	11367
278	4391	11349
279	4407	11332
280	4423	11317
281	4438	11301
282	4453	11283
283	4469	11267
284	4485	11252
285	4501	11237
286	4516	11220
287	4531	11203
288	4547	11187
289	4562	11170
290	4578	11155
291	4593	11137
292	4609	11122
293	4625	11106
294	4639	11088
295	4655	11071
296	4671	11056
297	4687	11041
298	4702	11024
299	4718	11008
300	4733	10992
301	4748	10975
302	4763	10958
303	4779	10941
