iter	MultiClass
0	1.556732
1	1.403333815
2	1.294168256
3	1.208520694
4	1.145049696
5	1.0730611
6	1.030336108
7	1.000664395
8	0.9617878174
9	0.9386212783
10	0.9185892772
11	0.8923738027
12	0.8704174453
13	0.8464993859
14	0.8284624879
15	0.8058572685
16	0.7966499242
17	0.7787290748
18	0.7639438654
19	0.7535567072
20	0.7372198228
21	0.7263233402
22	0.716799221
23	0.7049000158
24	0.697923302
25	0.689173057
26	0.6786063074
27	0.6669237844
28	0.6583130655
29	0.6508641398
30	0.6418401355
31	0.6342486598
32	0.6251395987
33	0.6190770016
34	0.6140930219
35	0.6084340587
36	0.6028496277
37	0.59396497
38	0.5900613635
39	0.585812349
40	0.5808192456
41	0.5757990873
42	0.5701429091
43	0.5673310329
44	0.5578404048
45	0.5544619921
46	0.5499582458
47	0.5447771006
48	0.5408059932
49	0.5368763259
50	0.5340521169
51	0.5271266944
52	0.5258151972
53	0.521606781
54	0.5160274169
55	0.5121577159
56	0.5084644102
57	0.5029019601
58	0.4986131753
59	0.4934564592
60	0.4885428639
61	0.4852360507
62	0.4812412036
63	0.4775028388
64	0.4747826581
65	0.4713799415
66	0.4687435005
67	0.4645481379
68	0.460138459
69	0.4585457629
70	0.4553433939
71	0.4524887429
72	0.4485396497
73	0.4451278779
74	0.4427964668
75	0.4408966911
76	0.4391111027
77	0.4340008719
78	0.4306358665
79	0.4259819287
80	0.4240354162
81	0.4210064862
82	0.4181022535
83	0.4152707228
84	0.4131243787
85	0.4110450749
86	0.4098171158
87	0.4067474743
88	0.4028255349
89	0.3989431879
90	0.395098037
91	0.3923985734
92	0.3911055232
93	0.3888628145
94	0.3864165516
95	0.3837199896
96	0.3815689923
97	0.3800820775
98	0.3763643358
99	0.3752508759
100	0.373703889
101	0.3717694482
102	0.3694473047
103	0.3675200898
104	0.365608148
105	0.3638694449
106	0.3614299669
107	0.3595488472
108	0.3564224186
109	0.3541404095
110	0.3513959308
111	0.3495804247
112	0.3484985243
113	0.347141608
114	0.3455388887
115	0.3439771749
116	0.3416926912
117	0.3406022085
118	0.3391171975
119	0.3360948256
120	0.3335241943
121	0.3317214919
122	0.330543247
123	0.3290500457
124	0.3279538068
125	0.3260095489
126	0.3241243602
127	0.3231274485
128	0.3208660032
129	0.3195914007
130	0.3183058886
131	0.3152470264
132	0.3135940579
133	0.3120603447
134	0.3108830883
135	0.3095479312
136	0.3080029778
137	0.3068010081
138	0.3056643856
139	0.3045667648
140	0.3026041184
141	0.3019866275
142	0.300629299
143	0.3000578072
144	0.2990124436
145	0.2983255472
146	0.2971784995
147	0.2954709216
148	0.2938292878
149	0.2930655309
150	0.2907997658
151	0.2899952134
152	0.2886617771
153	0.2879419837
154	0.2862097466
155	0.2846899481
156	0.2826800106
157	0.2815227758
158	0.2804947584
159	0.2796256507
160	0.2766224155
161	0.2760422113
162	0.2746982269
163	0.2732989081
164	0.2726341557
165	0.2710840326
166	0.2700237601
167	0.2685019741
168	0.2675695624
169	0.2665515115
170	0.2656796077
171	0.2647936776
172	0.2640792721
173	0.2632157108
174	0.2626292303
175	0.2603091988
176	0.2592093192
177	0.2582447194
178	0.2573433518
179	0.2565859842
180	0.255484562
181	0.2548554253
182	0.2539511135
183	0.2535701195
184	0.2522901635
185	0.2512459907
186	0.2505425045
187	0.2490714679
188	0.2479046732
189	0.2463912315
190	0.2457995764
191	0.2449250588
192	0.2435841466
193	0.2429892385
194	0.2420599029
195	0.2412364879
196	0.2402323619
197	0.2395695242
198	0.2388264778
199	0.2372656936
