iter	Passed	Remaining
0	12	7572
1	15	4663
2	29	5902
3	43	6467
4	56	6779
5	70	7023
6	85	7280
7	99	7353
8	112	7398
9	125	7410
10	139	7445
11	153	7502
12	167	7561
13	181	7585
14	194	7585
15	208	7599
16	221	7604
17	236	7635
18	250	7668
19	265	7706
20	286	7894
21	306	8060
22	322	8087
23	336	8069
24	350	8057
25	363	8021
26	376	7982
27	389	7949
28	402	7918
29	416	7909
30	430	7894
31	443	7866
32	456	7850
33	470	7831
34	483	7809
35	496	7781
36	511	7776
37	524	7762
38	538	7751
39	552	7738
40	567	7732
41	580	7710
42	593	7692
43	607	7676
44	621	7664
45	634	7647
46	649	7637
47	662	7617
48	675	7600
49	689	7579
50	702	7561
51	715	7540
52	729	7528
53	742	7504
54	756	7496
55	769	7475
56	783	7459
57	796	7444
58	809	7424
59	823	7413
60	837	7403
61	850	7382
62	865	7373
63	878	7358
64	892	7346
65	906	7335
66	920	7322
67	933	7300
68	946	7284
69	960	7274
70	974	7261
71	988	7245
72	1000	7225
73	1014	7208
74	1027	7189
75	1040	7172
76	1053	7153
77	1067	7141
78	1081	7132
79	1094	7116
80	1108	7104
81	1122	7090
82	1135	7071
83	1148	7052
84	1150	6969
85	1164	6959
86	1178	6950
87	1193	6941
88	1209	6942
89	1224	6941
90	1238	6928
91	1254	6926
92	1271	6931
93	1287	6930
94	1304	6931
95	1317	6918
96	1332	6908
97	1346	6899
98	1360	6883
99	1374	6874
100	1388	6861
101	1403	6853
102	1416	6837
103	1430	6822
104	1444	6811
105	1458	6795
106	1471	6782
107	1485	6767
108	1498	6752
109	1512	6737
110	1526	6724
111	1540	6712
112	1553	6696
113	1567	6683
114	1581	6669
115	1595	6657
116	1610	6647
117	1623	6633
118	1638	6622
119	1651	6605
120	1664	6589
121	1677	6572
122	1689	6552
123	1703	6537
124	1717	6527
125	1730	6511
126	1744	6497
127	1758	6484
128	1771	6468
129	1789	6469
130	1807	6472
131	1822	6460
132	1834	6439
133	1847	6423
134	1859	6405
135	1871	6384
136	1882	6362
137	1894	6344
138	1906	6321
139	1917	6299
140	1928	6278
141	1940	6258
142	1952	6239
143	1964	6219
144	1975	6200
145	1988	6182
146	2001	6167
147	2013	6149
148	2026	6133
149	2038	6116
150	2051	6099
151	2062	6078
152	2074	6059
153	2085	6039
154	2097	6021
155	2108	6001
156	2119	5981
157	2131	5962
158	2143	5943
159	2154	5923
160	2165	5904
161	2177	5887
162	2189	5868
163	2200	5849
164	2212	5831
165	2224	5815
166	2236	5799
167	2250	5786
168	2262	5770
169	2274	5753
170	2286	5737
171	2298	5719
172	2310	5702
173	2321	5684
174	2333	5666
175	2345	5650
176	2357	5633
177	2368	5616
178	2380	5598
179	2391	5581
180	2403	5564
181	2415	5547
182	2427	5531
183	2440	5516
184	2452	5501
185	2464	5484
186	2475	5467
187	2488	5452
188	2499	5436
189	2511	5419
190	2523	5402
191	2534	5386
192	2546	5371
193	2558	5354
194	2570	5339
195	2582	5322
196	2593	5306
197	2605	5289
198	2616	5271
199	2627	5255
200	2640	5241
201	2652	5225
202	2664	5210
203	2676	5195
204	2687	5179
205	2699	5162
206	2711	5147
207	2722	5130
208	2735	5116
209	2746	5101
210	2758	5085
211	2769	5069
212	2782	5054
213	2794	5040
214	2806	5024
215	2817	5009
216	2829	4994
217	2841	4979
218	2853	4964
219	2865	4950
220	2878	4935
221	2890	4922
222	2903	4908
223	2916	4894
224	2928	4880
225	2942	4869
226	2954	4854
227	2966	4839
228	2978	4824
229	2991	4812
230	3003	4797
231	3015	4782
232	3026	4767
233	3039	4753
234	3051	4739
235	3064	4725
236	3076	4711
237	3088	4697
238	3100	4682
239	3112	4668
240	3124	4653
241	3137	4641
242	3150	4628
243	3162	4614
244	3176	4602
245	3193	4595
246	3206	4582
247	3219	4569
248	3233	4557
249	3245	4544
250	3257	4529
251	3270	4516
252	3282	4502
253	3294	4487
254	3306	4473
255	3318	4459
256	3330	4444
257	3341	4429
258	3354	4416
259	3366	4402
260	3379	4389
261	3390	4374
262	3402	4360
263	3414	4346
264	3428	4334
265	3440	4320
266	3454	4307
267	3466	4294
268	3480	4282
269	3492	4269
270	3505	4256
271	3518	4243
272	3532	4231
273	3547	4220
274	3560	4208
275	3574	4195
276	3586	4181
277	3598	4167
278	3610	4153
279	3623	4140
280	3635	4126
281	3646	4111
282	3658	4098
283	3670	4083
284	3682	4069
285	3693	4055
286	3705	4040
287	3716	4026
288	3729	4013
289	3741	3999
290	3752	3984
291	3764	3970
292	3775	3956
293	3787	3942
294	3798	3927
295	3810	3912
296	3822	3899
297	3834	3885
298	3846	3872
299	3857	3857
300	3869	3843
301	3880	3829
302	3891	3814
303	3903	3800
304	3915	3786
305	3926	3772
306	3938	3759
307	3950	3745
308	3962	3731
309	3974	3717
310	3986	3704
311	3997	3689
312	4008	3675
313	4020	3662
314	4032	3648
315	4044	3635
316	4056	3621
317	4067	3606
318	4078	3592
319	4091	3579
320	4104	3567
321	4115	3553
322	4128	3540
323	4139	3526
324	4151	3512
325	4162	3498
326	4172	3483
327	4184	3470
328	4195	3456
329	4207	3442
330	4219	3429
331	4231	3415
332	4243	3402
333	4255	3388
334	4266	3375
335	4277	3361
336	4289	3347
337	4300	3333
338	4312	3320
339	4323	3306
340	4335	3293
341	4347	3279
342	4359	3266
343	4371	3253
344	4384	3240
345	4397	3227
346	4408	3214
347	4420	3201
348	4432	3187
349	4444	3174
350	4457	3162
351	4469	3149
352	4482	3136
353	4494	3122
354	4506	3110
355	4518	3096
356	4529	3083
357	4541	3070
358	4552	3056
359	4564	3042
360	4575	3029
361	4587	3015
362	4599	3002
363	4611	2990
